gene,counts
MT-CO3,470350.0
MT-CO2,449796.0
MT-CO1,446115.0
MT-ATP6,369410.0
MT-ND1,285596.0
MT-ND4,278152.0
MT-ND3,234935.0
MT-CYB,230458.0
MT-ND2,227793.0
MALAT1,181468.0
MTRNR2L12,138231.0
MAP1B,94096.0
SPARCL1,90227.0
CALM1,85926.0
HSP90AA1,84536.0
MBP,80930.0
FTH1,62354.0
MT3,59376.0
SNAP25,55584.0
CLU,55184.0
TUBA1B,51318.0
MT-ND5,50701.0
GNAS,48577.0
RPL37A,47695.0
MAP2,47416.0
RPL41,47186.0
CST3,46797.0
SYT1,45759.0
EEF1A1,45011.0
TMSB10,44945.0
CALM2,43777.0
NDUFA4,42150.0
GAPDH,41228.0
NRGN,39368.0
HSP90AB1,37527.0
TMSB4X,36997.0
IDS,36449.0
GPM6A,36307.0
ACTB,35471.0
VSNL1,35414.0
RTN4,35309.0
CAMK2N1,34868.0
PEBP1,34360.0
RPL34,34029.0
NEFL,33444.0
RPS24,32661.0
SLC1A2,32620.0
PPIA,32394.0
CPE,32107.0
MAP1A,31922.0
RPL32,30679.0
ATP5F1E,30379.0
RPL21,30153.0
RPL31,29758.0
STMN1,29706.0
CHN1,29275.0
RPL37,28974.0
CKB,28958.0
RPLP1,28825.0
RPS21,28716.0
GAP43,28280.0
OLFM1,27945.0
RPS27,27931.0
RPL9,27796.0
YWHAH,27484.0
TPT1,27421.0
RPL13,26941.0
UQCRB,26774.0
MT-ATP8,26371.0
RPL17,26117.0
BASP1,26110.0
RPL38,25990.0
PLP1,25710.0
RPS27A,25670.0
FTL,25580.0
UCHL1,25397.0
GFAP,25067.0
CALM3,24632.0
RPL26,24385.0
UBB,23996.0
RPS8,23836.0
MEG3,23718.0
STMN2,23543.0
COX4I1,23531.0
RTN1,23516.0
MTRNR2L8,23466.0
CCK,23436.0
YWHAB,23210.0
COX6A1,23167.0
RPS3A,22993.0
GPM6B,22876.0
RPL13A,22872.0
RPS12,22387.0
CCNI,22323.0
TTC3,22213.0
YWHAE,22134.0
RTN3,22116.0
SEPTIN7,22075.0
RPL36,22013.0
RPS23,21934.0
RPL6,21813.0
RPS29,21460.0
COX6C,21451.0
RPS18,21357.0
HSPA8,21340.0
ATP1B1,21320.0
ACTG1,21163.0
UBC,21065.0
YWHAG,21054.0
ARPP19,20680.0
DPYSL2,20674.0
RPS15,20606.0
RPS6,20368.0
SELENOW,20368.0
RPL15,20151.0
RPS14,20101.0
COX7C,20048.0
DYNLL1,19932.0
RPL35,19717.0
RPS28,19527.0
YWHAZ,19525.0
DST,19367.0
NEFM,19358.0
RPS25,19101.0
RPL24,19098.0
PPP3CA,18966.0
LMO4,18867.0
PRNP,18829.0
SLC17A7,18682.0
PTGDS,18461.0
ATP6V0C,18457.0
HMGB1,18268.0
PTMA,18265.0
SNHG14,18255.0
PRKCB,17786.0
PSAP,17718.0
MT-ND4L,17630.0
TUBA1A,17617.0
ANK2,17559.0
GLUL,17416.0
MIF,17303.0
RPL7,17259.0
RPLP2,17153.0
SERINC1,17153.0
THY1,17073.0
NUCKS1,17046.0
RPL4,16705.0
RPL39,16535.0
DKK3,16522.0
RPS11,16470.0
BEX3,16337.0
RPL3,16036.0
NORAD,16010.0
RPL23A,15843.0
C1orf61,15838.0
ATP2B1,15818.0
KIF5C,15797.0
RPL35A,15722.0
NDUFS5,15593.0
COX5B,15496.0
ATP5MD,15441.0
CFL1,15409.0
ATP5ME,15390.0
NTRK2,15287.0
SPTBN1,15284.0
TSC22D1,15218.0
KIF5A,15145.0
DSTN,15128.0
ITM2B,15098.0
MAN1A2,15062.0
HINT1,15053.0
MORF4L1,15052.0
BEX1,15039.0
SOD1,15038.0
EIF4A2,15019.0
APOE,15001.0
TUBB2A,14805.0
TSPAN7,14763.0
TPI1,14759.0
LDHB,14725.0
MDH1,14690.0
MEF2C,14674.0
RPS7,14640.0
VAMP2,14436.0
APC,14436.0
ENC1,14394.0
NDRG2,14193.0
RPL36A,14173.0
ENO2,14148.0
SEC62,14044.0
EIF1,14034.0
RPL7A,14024.0
OAZ1,13994.0
RPL5,13983.0
CLSTN1,13966.0
