gene,counts
MTRNR2L1,2440823.0
MT-ND1,2075209.0
MTRNR2L12,2007651.0
MT-ND2,1780574.0
MT-ND4,1719047.0
MT-ND5,1309178.0
MT-ND4L,1280045.0
MT-ATP8,633808.0
CAMK2N1,403615.0
HSPA8,339273.0
NTRK2,290109.0
MBP,252080.0
KIF5A,248601.0
MT-ND6,246743.0
CCNI,226105.0
YWHAH,210023.0
DKK3,178418.0
AK5,175880.0
ENC1,163004.0
NORAD,161664.0
NRXN1,160737.0
AQP4,156382.0
TF,155733.0
MTURN,150763.0
KIF1A,150598.0
TMSB10,146684.0
NEFL,145304.0
GJA1,132197.0
CNP,130944.0
ABCA2,121874.0
SV2A,120337.0
PLP1,117640.0
CLDND1,112206.0
VIM,109419.0
NPIPA1,108743.0
S100B,102963.0
NEFM,99188.0
OGA,98625.0
OSBPL1A,96391.0
LMO4,92495.0
SOD2,85681.0
MOG,85431.0
NPTX1,79675.0
RASGRF2,78122.0
C1orf61,77972.0
GFAP,77026.0
ATP2B4,73770.0
FGFR3,70054.0
CABP1,68402.0
SCG3,66955.0
GABBR2,66117.0
ZNF483,65252.0
CNN3,65039.0
TNK2,63886.0
UQCRFS1,60196.0
DBNDD2,59888.0
DIRAS2,59472.0
PSMA7,59410.0
TMEM144,59284.0
RCAN2,58415.0
A2M,55455.0
RTF2,55040.0
CSMD1,54891.0
USP22,54523.0
CCK,54427.0
HLA-B,52967.0
BCAS1,50704.0
PLEC,50292.0
VAMP1,50093.0
RNASE1,50016.0
EDIL3,49858.0
HNRNPH3,49735.0
KCNK1,49452.0
EPAS1,49302.0
PDXK,49179.0
CHST1,47745.0
TTC9B,47530.0
SOX2-OT,47407.0
MOBP,47355.0
CFAP36,47270.0
TEF,47055.0
HPCAL1,46801.0
C14orf132,45721.0
IRS2,43768.0
MAG,43301.0
PLAAT3,42845.0
HLA-E,41649.0
TSC22D3,41148.0
C3,40819.0
SPRY2,40746.0
CASC3,40715.0
SLC44A1,40006.0
ENPP2,39996.0
CYP46A1,38377.0
NOTCH1,38332.0
RPL36AL,37862.0
CLDN11,37825.0
AQP1,37757.0
SNPH,37709.0
GATD3A,37648.0
VGF,37308.0
FSCN1,37017.0
SYT2,36761.0
SCN1B,35527.0
CD74,34980.0
GPR6,33691.0
ADCYAP1R1,33672.0
ALCAM,33247.0
TXNIP,32718.0
ZBTB16,32547.0
FABP3,32416.0
ABCG2,32052.0
ITM2A,31816.0
MYL6,31329.0
SSBP1,30843.0
MAP2K1,30748.0
CXCL14,30580.0
NDUFB9,30469.0
CAPZB,30187.0
ELOC,30096.0
AKT1,28511.0
HIF3A,28462.0
SLC2A1,27268.0
ARPP19,27151.0
BLCAP,27126.0
MT2A,27057.0
LGALS1,27014.0
BAIAP3,26696.0
CNDP1,26614.0
LZTS3,26194.0
RORB,25937.0
GAD1,25546.0
MYL9,25511.0
IFITM3,25363.0
ERBB4,24194.0
CRYM,23978.0
RPS26,23595.0
LATS1,23590.0
PAQR6,23384.0
HLA-DRB1,23132.0
DDIT4,22171.0
EGR3,22144.0
C1QA,21082.0
FLT1,20938.0
COX5A,20586.0
GATD3B,20343.0
CX3CR1,20327.0
CSF1R,20242.0
S100A6,19732.0
SESN1,19549.0
RANBP1,19344.0
HHIP,18762.0
GNAL,18717.0
CTIF,18658.0
PMP22,18569.0
GALNT16,18538.0
CAPN3,18384.0
ACTA2,17879.0
MRPL57,17870.0
GAD2,17492.0
SST,16420.0
CACNA1C,16217.0
ADAM28,15887.0
FILIP1,15847.0
CLDN5,15802.0
FKBP5,15757.0
MAPK3,15683.0
SERPINA3,15590.0
RIPOR2,14399.0
AJ009632.2,14373.0
COMT,14343.0
TAGLN,14313.0
SERPING1,14190.0
ACO1,14002.0
NEFH,13825.0
BCL6,13790.0
RASD1,13762.0
XRRA1,13084.0
NDUFB2,13069.0
EVI2A,12986.0
P2RY12,12983.0
PLD4,12740.0
KLF2,12733.0
GRIN2A,12657.0
HMGB2,12354.0
PFN1,11906.0
LAPTM5,11818.0
CALB2,11800.0
SLC14A1,11798.0
APOLD1,11665.0
LAMP5,11080.0
C4A,11039.0
MEIS2,10913.0
PECAM1,10907.0
ANLN,10866.0
DCC,10857.0
HBA1,10773.0
PPM1K,10730.0
DISC1,10503.0
NR4A2,10427.0
LPAR6,10191.0
NRG1,9845.0
GPX3,9796.0
ADCYAP1,9787.0
RELN,9775.0
EGR1,9748.0
ISLR,9308.0
DEAF1,9195.0
CYBB,9069.0
TNFSF10,8991.0
ITGAX,8965.0
AKAP8L,8939.0
SLC32A1,8903.0
C1QB,8886.0
PCP4,8867.0
CALB1,8855.0
HLA-DPA1,8808.0
RERGL,8774.0
CUX2,8742.0
PVALB,8617.0
IGFBP5,8590.0
ARRDC3,8514.0
GJB1,8339.0
PWP2,8270.0
VIP,8236.0
MRPL27,8219.0
GSTM5,7627.0
CD68,7442.0
FSTL4,7426.0
ALDH1A1,7372.0
ARPC1B,7361.0
CD53,7303.0
